Nro,Nombre,Director,Niveles,Dependencia,Orientacion,Direccion,Region,Comuna,Telefono,Pagina
9702,ESCUELA BASICA MARIO ARCE GATICA,PEDRO ALEJANDRO BERMÚDEZ LLANTÉN,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,LOS AVELLANOS 10958,Metropolitana De Santiago,El Bosque,54145902,Sin información
9703,ESCUELA ESPERANZA JOVEN,SUSANA BEATRIZ SANTIBÁÑEZ JARA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,COLON 6918,Metropolitana De Santiago,La Cisterna,25210937,Sin información
9704,ESCUELA LO VALLEDOR,SANDRA DANIELA BUSTAMANTE MORALES,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,AVDA A. ALESSANDRI 6378,Metropolitana De Santiago,Pedro Aguirre Cerda,23965855,Sin información
9705,ESCUELA BASICA SALOMON SACK,ROBERTO FERNANDO SILVA GUERRERO,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,AVDA. DIAGONAL LAS TORRES 7850,Metropolitana De Santiago,Lo Espejo,24856799,Sin información
9706,ESCUELA BAS. OSCAR ENCALADA YOVANOVICH,FERNANDO ENRIQUE MIRANDA CERDA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,PEDRO AGUIRRE CERDA 0184,Metropolitana De Santiago,La Cisterna,25583187,Sin información
9709,ESCUELA BLUE STAR COLLEGE,MARÍA ELENA NOVOA OLIVÁREZ,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,MONTERREY 7519,Metropolitana De Santiago,Lo Espejo,24856812,
9710,ESCUELA BASICA SANTA ADRIANA,JUAN PABLO ORELLANA MARTÍNEZ,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,CALLE B S/Nº CON AV. LO OVALLE S/N,Metropolitana De Santiago,Lo Espejo,4856835,Sin información
9713,COMPLEJO EDUCACIONAL FELIPE HERRERA LANE,LAUTARO URREA MUÑOZ,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,LOS CUERVOS 866,Metropolitana De Santiago,El Bosque,5586793,Sin información
9714,ESCUELA BASICA JOSE MARTI,ORIANA MARGARITA CONTRERAS CONTRERAS,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,18 DE SEPTIEMBRE 01080,Metropolitana De Santiago,El Bosque,5581624,Sin información
9715,ESCUELA BASICA VILLA SANTA ELENA,ALEJANDRO ANTONIO VELÁSQUEZ ARAOS,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,PASAJE LOS PLATINOS 11169,Metropolitana De Santiago,El Bosque,5293673,Sin información
9716,ESCUELA BASICA ACAPULCO,CARLOS MAURICIO SALAS CONTRERAS,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,ACAPULCO N°7661 POBLACIÓN SANTA OLGA 7661,Metropolitana De Santiago,Lo Espejo,4856849,Sin información
9717,ESCUELA CIUDAD DE LYON,VICENTE CAYETANO ARROYO HERNÁNDEZ,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,ALMIRANTE RIVEROS 10122,Metropolitana De Santiago,El Bosque,443049984,Sin información
9718,ESCUELA BASICA PAUL HARRIS,JOSÉ ANTONIO NAZAR CLAVERÍA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,SANTA AGUEDA 1382,Metropolitana De Santiago,El Bosque,5286811,Sin información
9719,ESCUELA BASICA,MARISOL JEANNETTE PASTENES TOLOSA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,MEXICO 02444,Metropolitana De Santiago,Lo Espejo,24856855,Sin información
9720,COLEGIO HERNAN OLGUIN,CLAUDIA LEONTINA DEL CARMEN GONZÁLEZ GÁLVEZ,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,AV. CENTRAL 8108,Metropolitana De Santiago,Lo Espejo,4856884,
9721,ESCUELA NEMESIO ANTUNEZ,MARÍA CELIA CAMPOS CONCHA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,EL LIBERTADOR 1001,Metropolitana De Santiago,El Bosque,95414190,
9722,LICEO PORTAL DE LA CISTERNA,ORESTE ALEJANDRO VELOSO DÍAZ,1º Básico - IV Medio,Público,1º Básico - IV Medio,ESMERALDA 6305,Metropolitana De Santiago,La Cisterna,25252715,
9726,LICEO TENIENTE FRANCISCO MERY AGUIRRE,ORLANDO ALBERTO DÍAZ MORA,Pre-Kinder - IV Medio,Público,Pre-Kinder - IV Medio,CENTENARIO 02854 02854,Metropolitana De Santiago,Lo Espejo,24856891,Sin información
9727,ESCUELA CIUDAD DE BARCELONA,SOLEDAD ANDREA VILLOUTA BUSTOS,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,MAYA 5961,Metropolitana De Santiago,Pedro Aguirre Cerda,23965849,Sin información
9729,ESCUELA VILLA SUR,RAQUEL ELIZABETH PONCE RAMÍREZ,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,LOS MOLLES 2973 2973,Metropolitana De Santiago,Pedro Aguirre Cerda,23965870,
9730,COLEGIO ANTU,ROXANA DEL CARMEN DÍAZ ARMIJO,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,TRINIDAD RAMIREZ 0750,Metropolitana De Santiago,La Cisterna,44068200,Sin información
9733,ESCUELA BASICA CLARA ESTRELLA,NINOSCKA ANDREA DÍAZ MORALES,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,VALPARAISO 6990,Metropolitana De Santiago,Lo Espejo,24856808,
